,Name,Congress,State,Start_Date,End_Date,Party,Since_Year,End_Year,Previously_Rep?
0,Sherrod Brown,rep,OH,1993-01-05,1995-01-03,Democrat,1993,1995,Y
1,Sherrod Brown,rep,OH,1995-01-04,1997-01-03,Democrat,1995,1997,Y
2,Sherrod Brown,rep,OH,1997-01-07,1999-01-03,Democrat,1997,1999,Y
3,Sherrod Brown,rep,OH,1999-01-06,2001-01-03,Democrat,1999,2001,Y
4,Sherrod Brown,rep,OH,2001-01-03,2003-01-03,Democrat,2001,2003,Y
5,Sherrod Brown,rep,OH,2003-01-07,2005-01-03,Democrat,2003,2005,Y
6,Sherrod Brown,rep,OH,2005-01-04,2007-01-03,Democrat,2005,2007,Y
7,Sherrod Brown,sen,OH,2007-01-04,2013-01-03,Democrat,2007,2013,Y
8,Sherrod Brown,sen,OH,2013-01-03,2019-01-03,Democrat,2013,2019,Y
9,Sherrod Brown,sen,OH,2019-01-03,2025-01-03,Democrat,2019,2025,Y
10,Maria Cantwell,rep,WA,1993-01-05,1995-01-03,Democrat,1993,1995,Y
11,Maria Cantwell,sen,WA,2001-01-03,2007-01-03,Democrat,2001,2007,Y
12,Maria Cantwell,sen,WA,2007-01-04,2013-01-03,Democrat,2007,2013,Y
13,Maria Cantwell,sen,WA,2013-01-03,2019-01-03,Democrat,2013,2019,Y
14,Maria Cantwell,sen,WA,2019-01-03,2025-01-03,Democrat,2019,2025,Y
15,Benjamin L. Cardin,rep,MD,1987-01-06,1989-01-03,Democrat,1987,1989,Y
16,Benjamin L. Cardin,rep,MD,1989-01-03,1991-01-03,Democrat,1989,1991,Y
17,Benjamin L. Cardin,rep,MD,1991-01-03,1993-01-03,Democrat,1991,1993,Y
18,Benjamin L. Cardin,rep,MD,1993-01-05,1995-01-03,Democrat,1993,1995,Y
19,Benjamin L. Cardin,rep,MD,1995-01-04,1997-01-03,Democrat,1995,1997,Y
20,Benjamin L. Cardin,rep,MD,1997-01-07,1999-01-03,Democrat,1997,1999,Y
21,Benjamin L. Cardin,rep,MD,1999-01-06,2001-01-03,Democrat,1999,2001,Y
22,Benjamin L. Cardin,rep,MD,2001-01-03,2003-01-03,Democrat,2001,2003,Y
23,Benjamin L. Cardin,rep,MD,2003-01-07,2005-01-03,Democrat,2003,2005,Y
24,Benjamin L. Cardin,rep,MD,2005-01-04,2007-01-03,Democrat,2005,2007,Y
25,Benjamin L. Cardin,sen,MD,2007-01-04,2013-01-03,Democrat,2007,2013,Y
26,Benjamin L. Cardin,sen,MD,2013-01-03,2019-01-03,Democrat,2013,2019,Y
27,Benjamin L. Cardin,sen,MD,2019-01-03,2025-01-03,Democrat,2019,2025,Y
28,Thomas R. Carper,rep,DE,1983-01-03,1985-01-03,Democrat,1983,1985,Y
29,Thomas R. Carper,rep,DE,1985-01-03,1987-01-03,Democrat,1985,1987,Y
30,Thomas R. Carper,rep,DE,1987-01-06,1989-01-03,Democrat,1987,1989,Y
