,Name,State,Party,Since_Year,Term_Length
0,Alex Padilla,CA,Democrat,2021,0
1,Amy Klobuchar,MN,Democrat,2007,14
2,"Angus S. King, Jr.",ME,Independent,2013,8
3,Ben Ray Luján,NM,Democrat,2021,0
4,Ben Sasse,NE,Republican,2015,6
5,Benjamin L. Cardin,MD,Democrat,2007,14
6,Bernard Sanders,VT,Independent,2007,14
7,Bill Cassidy,LA,Republican,2015,6
8,Bill Hagerty,TN,Republican,2021,0
9,Brian Schatz,HI,Democrat,2012,9
10,Catherine Cortez Masto,NV,Democrat,2017,4
11,Charles E. Schumer,NY,Democrat,1999,22
12,Chris Van Hollen,MD,Democrat,2017,4
13,Christopher A. Coons,DE,Democrat,2010,11
14,Christopher Murphy,CT,Democrat,2013,8
15,Chuck Grassley,IA,Republican,1981,40
16,Cindy Hyde-Smith,MS,Republican,2018,3
17,Cory A. Booker,NJ,Democrat,2013,8
18,Cynthia M. Lummis,WY,Republican,2021,0
19,Dan Sullivan,AK,Republican,2015,6
20,Deb Fischer,NE,Republican,2013,8
21,Debbie Stabenow,MI,Democrat,2001,20
22,Dianne Feinstein,CA,Democrat,1992,29
23,Edward J. Markey,MA,Democrat,2013,8
24,Elizabeth Warren,MA,Democrat,2013,8
25,Gary C. Peters,MI,Democrat,2015,6
26,Jack Reed,RI,Democrat,1997,24
27,Jacky Rosen,NV,Democrat,2019,2
28,James E. Risch,ID,Republican,2009,12
29,James Lankford,OK,Republican,2015,6
30,James M. Inhofe,OK,Republican,1994,27
31,Jeanne Shaheen,NH,Democrat,2009,12
32,Jeff Merkley,OR,Democrat,2009,12
33,Jerry Moran,KS,Republican,2011,10
34,"Joe Manchin, III",WV,Democrat,2010,11
35,John Barrasso,WY,Republican,2007,14
36,John Boozman,AR,Republican,2011,10
37,John Cornyn,TX,Republican,2002,19
38,John Hoeven,ND,Republican,2011,10
39,John Kennedy,LA,Republican,2017,4
40,John Thune,SD,Republican,2005,16
41,John W. Hickenlooper,CO,Democrat,2021,0
42,Jon Ossoff,GA,Democrat,2021,0
43,Jon Tester,MT,Democrat,2007,14
44,Joni Ernst,IA,Republican,2015,6
45,Josh Hawley,MO,Republican,2019,2
46,Kevin Cramer,ND,Republican,2019,2
47,Kirsten E. Gillibrand,NY,Democrat,2009,12
48,Kyrsten Sinema,AZ,Democrat,2019,2
49,Lindsey Graham,SC,Republican,2003,18
50,Lisa Murkowski,AK,Republican,2003,18
51,Marco Rubio,FL,Republican,2011,10
52,Margaret Wood Hassan,NH,Democrat,2017,4
53,Maria Cantwell,WA,Democrat,2001,20
54,Mark Kelly,AZ,Democrat,2020,1
55,Mark R. Warner,VA,Democrat,2009,12
56,Marsha Blackburn,TN,Republican,2019,2
57,Martin Heinrich,NM,Democrat,2013,8
58,Mazie K. Hirono,HI,Democrat,2013,8
59,Michael F. Bennet,CO,Democrat,2009,12
60,Mike Braun,IN,Republican,2019,2
61,Mike Crapo,ID,Republican,1999,22
62,Mike Lee,UT,Republican,2011,10
63,Mike Rounds,SD,Republican,2015,6
64,Mitch McConnell,KY,Republican,1985,36
65,Mitt Romney,UT,Republican,2019,2
66,Patrick J. Leahy,VT,Democrat,1975,46
67,Patrick J. Toomey,PA,Republican,2011,10
68,Patty Murray,WA,Democrat,1993,28
69,Rand Paul,KY,Republican,2011,10
70,Raphael G. Warnock,GA,Democrat,2021,0
71,Richard Blumenthal,CT,Democrat,2011,10
72,Richard Burr,NC,Republican,2005,16
73,Richard C. Shelby,AL,Democrat,1987,34
75,Richard J. Durbin,IL,Democrat,1997,24
76,Rick Scott,FL,Republican,2019,2
77,Rob Portman,OH,Republican,2011,10
78,Robert Menendez,NJ,Democrat,2006,15
79,"Robert P. Casey, Jr.",PA,Democrat,2007,14
80,Roger F. Wicker,MS,Republican,2007,14
81,Roger Marshall,KS,Republican,2021,0
82,Ron Johnson,WI,Republican,2011,10
83,Ron Wyden,OR,Democrat,1996,25
84,Roy Blunt,MO,Republican,2011,10
85,Sheldon Whitehouse,RI,Democrat,2007,14
86,Shelley Moore Capito,WV,Republican,2015,6
87,Sherrod Brown,OH,Democrat,2007,14
88,Steve Daines,MT,Republican,2015,6
89,Susan M. Collins,ME,Republican,1997,24
90,Tammy Baldwin,WI,Democrat,2013,8
91,Tammy Duckworth,IL,Democrat,2017,4
92,Ted Cruz,TX,Republican,2013,8
93,Thom Tillis,NC,Republican,2015,6
94,Thomas R. Carper,DE,Democrat,2001,20
95,Tim Kaine,VA,Democrat,2013,8
96,Tim Scott,SC,Republican,2013,8
97,Tina Smith,MN,Democrat,2018,3
98,Todd Young,IN,Republican,2017,4
99,Tom Cotton,AR,Republican,2015,6
100,Tommy Tuberville,AL,Republican,2021,0
